ID;Workclass;education;marital-status;occupation;relationship;race;sex
1;State-gov;Bachelors;Never-married;Adm-clerical;Not-in-family;White;Male
2;Self-emp-not-inc;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
3;Private;HS-grad;Divorced;Handlers-cleaners;Not-in-family;White;Male
4;Private;11th;Married-civ-spouse;Handlers-cleaners;Husband;Black;Male
5;Private;Bachelors;Married-civ-spouse;Prof-specialty;Wife;Black;Female
6;Private;Masters;Married-civ-spouse;Exec-managerial;Wife;White;Female
7;Private;9th;Married-spouse-absent;Other-service;Not-in-family;Black;Female
8;Self-emp-not-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male
9;Private;Masters;Never-married;Prof-specialty;Not-in-family;White;Female
10;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
11;Private;Some-college;Married-civ-spouse;Exec-managerial;Husband;Black;Male
12;State-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;Asian-Pac-Islander;Male
13;Private;Bachelors;Never-married;Adm-clerical;Own-child;White;Female
14;Private;Assoc-acdm;Never-married;Sales;Not-in-family;Black;Male
15;Private;Assoc-voc;Married-civ-spouse;Craft-repair;Husband;Asian-Pac-Islander;Male
16;Private;7th-8th;Married-civ-spouse;Transport-moving;Husband;Amer-Indian-Eskimo;Male
17;Self-emp-not-inc;HS-grad;Never-married;Farming-fishing;Own-child;White;Male
18;Private;HS-grad;Never-married;Machine-op-inspct;Unmarried;White;Male
19;Private;11th;Married-civ-spouse;Sales;Husband;White;Male
20;Self-emp-not-inc;Masters;Divorced;Exec-managerial;Unmarried;White;Female
21;Private;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male
22;Private;HS-grad;Separated;Other-service;Unmarried;Black;Female
23;Federal-gov;9th;Married-civ-spouse;Farming-fishing;Husband;Black;Male
24;Private;11th;Married-civ-spouse;Transport-moving;Husband;White;Male
25;Private;HS-grad;Divorced;Tech-support;Unmarried;White;Female
26;Local-gov;Bachelors;Married-civ-spouse;Tech-support;Husband;White;Male
27;Private;HS-grad;Never-married;Craft-repair;Own-child;White;Male
28;?;Some-college;Married-civ-spouse;?;Husband;Asian-Pac-Islander;Male
29;Private;HS-grad;Divorced;Exec-managerial;Not-in-family;White;Male
30;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
31;Local-gov;Assoc-acdm;Never-married;Protective-serv;Not-in-family;White;Male
32;Private;Some-college;Never-married;Sales;Own-child;Black;Male
33;Private;Bachelors;Divorced;Exec-managerial;Own-child;White;Male
34;Federal-gov;Some-college;Married-civ-spouse;Adm-clerical;Own-child;White;Male
35;State-gov;Some-college;Married-civ-spouse;Other-service;Husband;Black;Male
36;Private;11th;Never-married;Machine-op-inspct;Unmarried;White;Male
37;Private;Some-college;Never-married;Machine-op-inspct;Own-child;White;Male
38;Private;HS-grad;Married-AF-spouse;Adm-clerical;Wife;White;Female
39;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male
40;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;Prof-specialty;Husband;White;Male
41;Private;9th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
42;Self-emp-not-inc;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
43;Private;Bachelors;Married-civ-spouse;Tech-support;Husband;White;Male
44;Private;HS-grad;Separated;Adm-clerical;Unmarried;White;Female
45;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;White;Male
46;Federal-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;Black;Male
47;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
48;Private;Masters;Divorced;Exec-managerial;Unmarried;White;Female
49;State-gov;Assoc-voc;Married-civ-spouse;Craft-repair;Husband;White;Male
50;Private;Assoc-voc;Never-married;Prof-specialty;Not-in-family;White;Male
51;Private;Some-college;Married-civ-spouse;Exec-managerial;Wife;Other;Female
52;Private;HS-grad;Never-married;Other-service;Own-child;White;Female
